nombre_centro;municipio;lat;lon
SANTA EULALIA;Santurtzi;NA;NA
EIDE;Santurtzi;43.3264657;-3.0282949
NATXO PELUQUEROS;Santurtzi;NA;NA
ITSASOKO AMA;Santurtzi;43.3307596;-3.0353997
LAS VIÑAS;Santurtzi;43.3297719;-3.0369806
MAESTRA EMILIA ZUZA BRUN;Santurtzi;43.3245379;-3.0390111
SERANTES;Santurtzi;NA;NA
AXULAR;Santurtzi;NA;NA
KANTAURI;Santurtzi;NA;NA
AMOR MISERICORDIOSO;Sestao;43.3107353;-3.0087931
BEGOÑAKO ANDRA MARI;Sestao;43.3079972;-3.0012381
BAGABILTZA;Sestao;NA;NA
ALBIZ;Sestao;43.3083365;-3.0104722
KUETO;Sestao;NA;NA
MARKONZAGA;Sestao;43.3056922;-3.0068094
REBONZA;Sestao;43.3075727;-2.9968245
VISTA ALEGRE;Sestao;43.3098154;-3.0013646
ANGELA FIGUERA;Sestao;43.3069587;-3.0026732
SATURNINO DE LA PEÑA;Sestao;43.3086123;-3.011379
AVELLANEDA;Sodupe;NA;NA
TRAÑA MATIENA;Traña-Matiena;NA;NA
ABADIÑO;Traña-Matiena;NA;NA
ANGEL LARENA;Traslaviña;43.2407164;-3.2154022
PLENTZIA;Txipio;NA;NA
URIBE- KOSTA;Txipio;NA;NA
VIZCAYA;Ugaldeguren (Santimami);NA;NA
DIMA-UGARANA;Ugarana;NA;NA
URRETXINDORRA;Ugarte;NA;NA
ANDER DEUNA IKASTOLA;Ugeraga;43.3750061;-2.9786015
SOPELA;Ugeraga;NA;NA
JOSE ETXEGARAI;Urbi;NA;NA
URBI;Urbi;NA;NA
LARRABETZU;Uria;43.2611278;-2.7971034
LEMOIZ;Urizar;43.4112;-2.9025672
URKITZA;Urkitzaurrealde;NA;NA
UNKINA;Usansolo;43.2202054;-2.8223193
FRANCISCANAS DE MONTPELLIER;Valle de Trápaga/Trapagaran;43.3045736;-3.0387434
ITXAROPENA IKASTOLA;Valle de Trápaga/Trapagaran;NA;NA
LA ESCONTRILLA;Valle de Trápaga/Trapagaran;NA;NA
SAN GABRIEL;Valle de Trápaga/Trapagaran;43.3033713;-3.0274376
BURDINIBARRA;Valle de Trápaga/Trapagaran;NA;NA
MONTE UMBE;Zabaloetxe;NA;NA
ZALDIBAR;Zaldibar;NA;NA
ZARATAMO;Zaratamo;NA;NA
MONTORRE;Zelaieta;43.3540815;-2.6494832
ZUBIALDE;Zubialde;NA;NA
OROZKO HARANA;Zubiaur;43.1076481;-2.9099728
EDUARDO ESKARTZAGA;Zubiete;NA;NA
