parque;lat;lon;area_m2
parque_93;43,33587880;-2,99914563201814;15738,90945045743
parque_240;43,27067705;-2,92177527059597;15571,07124020625
parque_293;43,34244330;-2,99368847033189;15378,99902223123
parque_22;43,34983595;-3,01625156079693;15221,38938156888
parque_45;43,35016950;-3,01556535268457;15065,93057351839
parque_2;43,32039120;-3,02584010789725;15009,81507743366
parque_346;43,35117550;-2,83913850129864;14999,41382780019
parque_233;43,25959830;-2,94985877194229;14924,45795096410
parque_261;43,32960040;-2,99657749035407;14883,90715975873
parque_265;43,29955290;-3,00118282087153;14730,04330953147
parque_380;43,26082650;-2,90456788864307;14692,70482273167
parque_218;43,29263650;-2,87859620252525;14555,79705612361
parque_266;43,29962505;-2,92128980048219;14457,83768707467
parque_245;43,30702485;-2,98617961238008;14436,16986173205
parque_295;43,32962105;-3,00911642189985;14414,35138665140
parque_368;43,30724900;-2,95734402544991;14106,47309304820
parque_139;43,28498995;-3,05685868055779;14080,38878044486
parque_356;43,30238125;-2,95039925090378;14062,60520453006
parque_85;43,33424420;-3,03913122651701;13973,74518634262
parque_40;43,27521180;-2,95869456913688;13931,29228386615
parque_176;43,25250485;-2,88704629513219;13855,48874457181
parque_153;43,26064095;-2,94046150312183;13819,83870127238
parque_415;43,23812575;-2,88777049814731;13789,36575021944
parque_68;43,32343420;-3,06980388153427;13723,88185996225
parque_391;43,27757445;-2,97110235774906;13706,84034577436
parque_376;43,26985480;-2,90718768207064;13679,94305532612
parque_195;43,31479870;-3,06637875059797;13578,70409500925
parque_213;43,24716360;-2,93040885361284;13378,60776593763
parque_157;43,23288655;-2,85033272056724;13365,21647004411
parque_401;43,25505685;-2,88188653686005;13281,09284105152
parque_242;43,27575020;-2,95191237880895;13272,42103604856
parque_411;43,32945705;-3,03111698266482;13241,62541826745
parque_358;43,31490900;-2,93894355877967;13238,15170851536
parque_194;43,31723325;-3,06753843571819;13083,18098895391
parque_72;43,31498740;-3,07306275567164;13051,14969131816
parque_142;43,33521905;-3,08493797201618;12934,72190549481
parque_122;43,29512720;-2,99593202961149;12864,25859228428
parque_113;43,28485980;-2,99333224706655;12787,08752865321
parque_196;43,31594110;-3,07765177519273;12768,17871830380
parque_250;43,33821125;-3,00933419223979;12717,80760606192
parque_312;43,28273160;-2,86496518150309;12682,17435734067
