nombre_centro;municipio;lat;lon
SAN ANTONIO ABAD;Fortaleny;NA;NA
ENTREVIÑAS;Fuenterrobles;39.5859475;-1.3626013
ABAD SOLA;Gandia;NA;NA
ABECÉ;Gandia;38.9682034;-0.1776116
BORJA;Gandia;NA;NA
ESCOLÀPIES GANDIA;Gandia;NA;NA
GREGORI MAYANS I CISCAR;Gandia;38.9679796;-0.17604
LOS NARANJOS;Gandia;NA;NA
NUESTRA SEÑORA DEL CARMEN;Gandia;NA;NA
REIAL COL·LEGI DE L'ESCOLA PIA DE GANDIA;Gandia;NA;NA
BENIPEIXCAR;Gandia;38.9613339;-0.1893037
BOTÀNIC CAVANILLES;Gandia;NA;NA
CERVANTES;Gandia;NA;NA
JOAN MARTORELL;Gandia;NA;NA
MONTDÚVER;Gandia;NA;NA
ROÍS DE CORELLA;Gandia;38.9651492;-0.1884708
SAN FRANCISCO DE BORJA;Gandia;NA;NA
AUSIÀS MARCH;Gandia;NA;NA
MARIA ENRÍQUEZ;Gandia;NA;NA
TIRANT LO BLANC;Gandia;NA;NA
ESCOLES DEL XÚQUER;Gavarda;NA;NA
MARE DE DÉU DELS DESEMPARATS;Genovés;NA;NA
SERRA CALDERONA;Gilet;39.6739754;-0.3229763
EDELWEISS;Godella;NA;NA
GENÇANA;Godella;NA;NA
INSTITUCIÓN CULTURAL DOMUS;Godella;39.5238866;-0.4149766
LUIS AMIGÓ;Godella;NA;NA
SAGRADO CORAZÓN;Godella;NA;NA
CERVANTES;Godella;39.521228;-0.4191218
EL BARRANQUET;Godella;NA;NA
ENRIQUE TIERNO GALVÁN;Godelleta;39.42378;-0.6876534
MARÍA DE LOS ÁNGELES SUÁREZ DE CALDERÓN;Grau i Platja;NA;NA
JOAN XXIII;Grau i Platja;NA;NA
LES FOIES;Grau i Platja;NA;NA
VELES E VENTS;Grau i Platja;NA;NA
RIU D'ALBAIDA;Guadasséquies;NA;NA
SANT FRANCESC;Guadassuar;NA;NA
BALMES;Guadassuar;39.1894908;-0.4806765
DIDÍN PUIG;Guadassuar;NA;NA
FORN D'ALCEDO;Horno de Alcedo;NA;NA
VALLE DE AYORA-COFRENTES;Jarafuel;39.1399367;-1.0739096
ESCUELA 2;La Cañada;39.5271104;-0.4954648
PALMA;La Cañada;NA;NA
SANTO TOMÁS DE AQUINO;La Cañada;NA;NA
EL PARQUE;La Cañada;NA;NA
LA FONT;La Cañada;38.8912001;-6.985752
LA CANYADA;La Cañada;38.8912001;-6.985752
MARE DE DÉU DELS XICS;La Font de la Figuera;NA;NA
FRANCESC CARRÒS;La Font d'en Carròs;NA;NA
CRISTO DEL MILAGRO;La Llosa de Ranes;NA;NA
CERVANTES;La Pobla de Farnals;39.579502;-0.3269612
GUILLEM D'ALCALÀ;La Pobla de Farnals;39.579502;-0.3269612
SAN JOSÉ;La Pobla de Vallbona;NA;NA
SAN RAFAEL;La Pobla de Vallbona;39.5953342;-0.5536294
COLOR DE MONTE COLORADO;La Pobla de Vallbona;NA;NA
EL CAMPÉS;La Pobla de Vallbona;NA;NA
LLUÍS VIVES;La Pobla de Vallbona;NA;NA
MAS DE TOUS;La Pobla de Vallbona;39.5858471;-0.5398524
LA VEREDA;La Pobla de Vallbona;39.5863967;-0.5401487
RAMÓN ESTEVE;La Pobla del Duc;NA;NA
SANTA ANA;La Pobla Llarga;NA;NA
DOCTOR SANCHIS GUARNER;La Pobla Llarga;NA;NA
PERE D'ESPLUGUES;La Pobla Llarga;NA;NA
SAN ANDRÉS APÓSTOL;L'Alcúdia;NA;NA
BATALLAR;L'Alcúdia;NA;NA
HERETATS;L'Alcúdia;NA;NA
LES COMES;L'Alcúdia;NA;NA
ELS ÉVOLS;L'Alcúdia;NA;NA
LA SÈNIA;L'Alcúdia de Crespins;NA;NA
ISABEL-CLARA SIMÓ;L'Alcúdia de Crespins;NA;NA
SANT PERE APÒSTOL;L'Alqueria de la Comtessa;NA;NA
HELIOS;L'Eliana;NA;NA
IALE;L'Eliana;39.5656613;-0.5439432
NOVASCHOOL L'ELIANA;L'Eliana;NA;NA
EL GARBÍ;L'Eliana;NA;NA
L'OLIVERA;L'Eliana;NA;NA
MONTE ALEGRE;L'Eliana;NA;NA
VIRGEN DEL CARMEN;L'Eliana;NA;NA
L'ELIANA;L'Eliana;NA;NA
LES ERES;L'Ènova;NA;NA
LA COSTERETA;Llanera de Ranes;NA;NA
SANT BLAI;Llaurí;NA;NA
FASTA EL PRAT;Llíria;NA;NA
FRANCISCO LLOPIS LATORRE;Llíria;39.6380229;-0.5769777
SANTA ANA;Llíria;39.6306523;-0.5990735
SANT MIQUEL;Llíria;39.6306683;-0.6007238
SANT VICENT FERRER;Llíria;39.6380229;-0.5769777
CAMP DE TÚRIA;Llíria;NA;NA
LAURONA;Llíria;NA;NA
RIU VERNISSA;Llocnou de Sant Jeroni;NA;NA
SANCHIS GUARNER;Llocnou d'en Fenollet;NA;NA
LLOMA LLARGA;Lloma Llarga;NA;NA
ESCUELA FAMILIAR AGRARIA TORRE-ALEDUA;Llombai;NA;NA
LA MALVESIA;Llombai;NA;NA
SANT FRANCESC DE BORJA;Llombai;39.2816063;-0.5733288
AUSIÀS MARCH;Llutxent;NA;NA
ISABEL LA CATÓLICA;L'Olleria;NA;NA
MANUEL SANCHIS GUARNER;L'Olleria;NA;NA
